발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2009,4,6,14:30,월,2009,4,7,7:15,경북,경북,안동,임하,금소,산65외15필,기,산림연접지역 인화물질(촛불)실화,,66,128.860502,36.5057186,경상북도 안동시 임하면 금소리 산65 외15필
2011,3,12,15:25,토,2011,3,12,17:10,경북,경북,안동,풍천,인금,산169,논,논밭두렁소각,,5,128.535852,36.5189426,경상북도 안동시 풍천면 인금리 산169
2019,5,26,17:46,일,2019,5,27,6:35,경북,경북,안동,녹전,사천,산82-2,성,묘지근처 개미굴 소각,,4.7,128.74481,36.7731378,경상북도 안동시 녹전면 사천리 산82-2
2008,2,15,15:40,금,2008,2,15,17:10,경북,경북,안동,녹전,갈현,산90,담,담뱃불실화,,1.2,128.778494,36.7850639,경상북도 안동시 녹전면 갈현리 산90
2009,6,2,5:10,화,2009,6,2,7:00,경북,경북,안동,임하,금소,산36-2,입,입산자실화추정,,1,128.854644,36.5043682,경상북도 안동시 임하면 금소리 산36-2
2008,4,20,14:10,일,2008,4,20,15:00,경북,경북,안동,서후,이송천,산36-1,논,농산부산물소각,,1,128.699894,36.6173637,경상북도 안동시 서후면 이송천리 산36-1
2008,2,13,15:17,수,2008,2,13,16:40,경북,경북,안동,용상,,산69,성,유품소각,,1,128.771538,36.552727,경상북도 안동시 용상동 산69
2003,4,5,15:00,공,2003,4,5,16:50,경북,경북,안동,임동,중평,산32,입,입산자실화추정,,1,128.941196,36.568323,경상북도 안동시 임동면 중평리 산32
2003,4,2,14:10,수,2003,4,2,16:20,경북,경북,안동,예안,귀단,산25,기,예취기작업실화,,1,128.879397,36.6918748,경상북도 안동시 예안면 귀단리 산25
2004,3,1,13:30,공,2004,3,1,14:50,경북,경북,안동,풍산,오리,산1,입,입산자실화추정,,0.9,,,
2017,2,28,13:10,화,2017,2,28,15:20,경북,경북,안동,일직,용각,산28-1,쓰,기타(직접입력),축산폐기물 소각,0.8,128.604231,36.4649984,경상북도 안동시 일직면 용각리 산28-1
2004,2,18,15:30,수,2004,2,18,16:15,경북,경북,안동,용상,,산235,쓰,쓰레기소각,,0.6,128.786486,36.5616765,경상북도 안동시 용상동 산235
2014,3,2,18:55,일,2014,3,2,21:00,경북,경북,안동,서후,태장,산134,논,논밭두렁 소각,,0.5,128.680535,36.624567,경상북도 안동시 서후면 태장리 산134
2011,3,15,16:27,화,2011,3,15,17:36,경북,경북,안동,북후,석탑,산67,건,주택화재비화,,0.5,128.60838,36.6999058,경상북도 안동시 북후면 석탑리 산67
2008,4,5,12:35,공,2008,4,5,12:55,경북,경북,안동,와룡,태,산107-13,성,성묘객실화,,0.5,,,
2008,4,5,10:40,공,2008,4,5,11:25,경북,경북,안동,길안,구수,산189,쓰,쓰레기소각,,0.5,128.933292,36.4666114,경상북도 안동시 길안면 구수리 산189
2007,3,13,13:20,화,2007,3,13,14:30,경북,경북,안동,일직,용각,산22-1,쓰,쓰레기소각,,0.5,128.617188,36.4544886,경상북도 안동시 일직면 용각리 산22-1
2007,2,22,15:15,목,2007,2,22,16:10,경북,경북,안동,녹전,신평,산54,논,논밭두렁소각,,0.5,128.790146,36.758211,경상북도 안동시 녹전면 신평리 산54
2006,4,29,12:49,토,2006,4,29,14:39,경북,경북,안동,도산,태자,산85,입,입산자실화,,0.5,128.861735,36.7908094,경상북도 안동시 도산면 태자리 산85
2006,3,22,13:04,수,2006,3,22,14:30,경북,경북,안동,도산,가송,산143,논,논밭두렁소각,,0.5,128.901246,36.7631736,경상북도 안동시 도산면 가송리 산143
2006,2,5,16:40,일,2006,2,5,17:50,경북,경북,안동,풍산,오미,산1,입,입산자실화,,0.5,128.503361,36.6045778,경상북도 안동시 풍산읍 오미리 산1
2005,5,3,16:10,화,2005,5,3,17:50,경북,경북,안동,남후,고상,산25,쓰,쓰레기소각,,0.5,128.603835,36.516733,경상북도 안동시 남후면 고상리 산25
2004,6,15,13:30,화,2004,6,15,15:05,경북,경북,안동,풍천,어담,산37-1,성,성묘객실화,,0.5,128.564194,36.4861096,경상북도 안동시 풍천면 어담리 산37-1
2004,4,17,0:00,금,2004,4,17,1:40,경북,경북,안동,남선,구미,산9,입,입산자실화추정,,0.5,128.775022,36.526798,경상북도 안동시 남선면 구미리 산9
2003,4,5,14:30,공,2003,4,5,15:35,경북,경북,안동,임하,천전,산37-2,담,담배불실화,,0.5,128.871275,36.5424465,경상북도 안동시 임하면 천전리 산37-2
2015,5,26,5:10,화,2015,5,26,7:10,경북,경북,안동,서후,자품,산103,논,농산부산물 소각,,0.4,128.608944,36.6608839,경상북도 안동시 서후면 재품리 산103
2011,3,23,15:15,수,2011,3,23,16:13,경북,경북,안동,풍산,서미,산30-2,논,논밭두렁소각,,0.4,128.57414,36.6317588,경상북도 안동시 풍산읍 서미리 산30-2
2009,11,21,13:10,토,2009,11,21,14:40,남부,경북,안동,길안,금곡,산83-1,쓰,쓰레기소각,,0.4,,,
2019,3,27,13:03,수,2019,3,27,16:55,경북,경북,안동,임하,천전,산59,쓰,쓰레기 소각,,0.3,128.85952,36.5351069,경상북도 안동시 임하면 천전리 산59
2011,3,11,13:45,금,2011,3,11,14:20,경북,경북,안동,서후,태장,산76,쓰,쓰레기소각,,0.3,128.657278,36.6530134,경상북도 안동시 서후면 태장리 산76
2009,4,10,12:40,금,2009,4,10,13:58,경북,경북,안동,임하,노산,산234,입,입산자실화추정,,0.3,128.814672,36.5591156,경상북도 안동시 임하면 노산리 산234
2008,4,6,12:35,일,2008,4,6,12:50,경북,경북,안동,녹전,신평,산199,논,농산부산물소각,,0.3,128.763843,36.7484314,경상북도 안동시 녹전면 신평리 산199
