발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2018,8,17,13:46,금,2018,8,17,18:20,강원,강원,춘천,동,월곡,산33외11,입,기타(직접입력),입산자 실화추정,9.4,127.809913,37.9317418,강원도 춘천시 동면 월곡리 산33 외11
2005,4,26,14:08,화,2005,4,26,17:00,강원,강원,춘천,신북,용산,산41-1,입,입산자실화추정,,8,127.717726,37.9519701,강원도 춘천시 신북읍 용산리 산41-1
2013,3,27,14:37,수,2013,3,27,18:30,강원,강원,춘천,남산,강촌,산41-3,논,농산폐기물소각,,4,127.657869,37.8137747,강원도 춘천시 남산면 강촌리 산41-3
2019,1,27,14:22,일,2019,1,27,17:30,강원,강원,춘천,신북,유포,산7-1,기,기타(직접입력),원인미상,2,127.78171,37.9570226,강원도 춘천시 신북읍 유포리 산7-1
2019,5,7,11:47,화,2019,5,7,18:00,북부,강원,춘천,동,품걸,산1-1,입,기타(직접입력),입산자 실화추정,1.5,,,
2019,1,20,12:30,일,2019,1,20,15:00,강원,강원,춘천,서,현암,산13,기,기타(직접입력),원인미상,1.2,127.684193,37.8889159,강원도 춘천시 서면 현암리 산13
2018,3,22,14:30,목,2018,3,22,16:20,강원,강원,춘천,남산,방하,산131-2외 2,건,주택화재비화,,1.1,127.539815,37.7772636,강원도 춘천시 남산면 방하리 산131-2 외 2
2019,2,27,14:12,수,2019,2,27,17:00,강원,강원,춘천,서,서상,산130,논,논밭두렁소각,,1,127.653273,37.9366149,강원도 춘천시 서면 서상리 산130
2016,2,4,13:35,목,2016,2,4,17:00,강원,강원,춘천,동,장학,산15,기,기타(직접입력),나무보일러 재 비화,1,127.769774,37.9045058,강원도 춘천시 동면 장학리 산15
2015,6,3,14:28,수,2015,6,3,19:00,강원,강원,춘천,남,가정,산96,논,농산폐기물 소각,,1,127.563359,37.748981,강원도 춘천시 남면 가정리 산96
2018,7,29,13:48,일,2018,7,29,19:00,강원,강원,춘천,남,가정,산88,기,작업장실화,,0.86,127.56427,37.7449764,강원도 춘천시 남면 가정리 산88
2016,4,11,12:51,월,2016,4,11,14:20,강원,강원,춘천,신북,용산,산2,담,담뱃불실화,,0.7,127.695598,37.9593731,강원도 춘천시 신북읍 용산리 산2
2016,3,18,13:46,금,2016,3,18,15:50,강원,강원,춘천,동산,원창,산9,논,농산폐기물소각,,0.6,127.793732,37.8058939,강원도 춘천시 동산면 원창리 산9
2018,4,21,16:38,토,2018,4,21,18:40,강원,강원,춘천,서,덕두원,산164-3,입,기타(직접입력),입산자 실화,0.5,127.648744,37.8443039,강원도 춘천시 서면 덕두원리 산164-3
2017,4,29,18:33,토,2017,4,30,11:00,북부,강원,춘천,칠전,,산97,기,기타(직접입력),조사중,0.5,,,
2013,5,6,1:27,월,2013,5,6,4:30,강원,강원,춘천,동,만천,산14,입,입산자실화,,0.5,127.78818,37.8786449,강원도 춘천시 동면 만천리 산14
2011,4,13,23:40,수,2011,4,14,2:30,강원,강원,춘천,신동,중리,산107-28,입,입산자실화추정,,0.5,,,
2015,3,9,14:42,월,2015,3,9,16:26,강원,강원,춘천,동,지내,산10,기,원인미상,,0.4,,,
2017,4,13,11:12,목,2017,4,13,14:00,강원,강원,춘천,서,덕두원,산99,담,담뱃불실화,,0.35,127.66645,37.8600166,강원도 춘천시 서면 덕두원리 산99
2017,3,14,12:26,화,2017,3,14,14:55,강원,강원,춘천,서,안보,산25-1,논,논밭두렁소각,,0.3,127.58458,37.8418823,강원도 춘천시 서면 안보리 산25-1
2017,3,12,17:45,일,2017,3,12,19:40,강원,강원,춘천,서,안보,산24,쓰,쓰레기소각,,0.3,127.590015,37.8367019,강원도 춘천시 서면 안보리 산24
2016,1,25,17:02,월,2016,1,25,20:00,강원,강원,춘천,남,발산,산163,기,기타(직접입력),보일러 연통불씨 비화,0.3,,,
2013,3,9,13:15,토,2013,3,9,14:20,강원,강원,춘천,북산,오항,산19,쓰,쓰레기소각,,0.3,127.898495,37.9877035,강원도 춘천시 북산면 오항리 산19
2011,3,9,17:20,수,2011,3,9,18:30,강원,강원,춘천,북산,조교,산439,건,주택화재비화,,0.3,127.965632,37.9320552,강원도 춘천시 북산면 조교리 산439
2010,11,22,21:41,월,2010,11,22,23:50,강원,강원,춘천,동산,조양,산339,입,입산자실화,,0.3,127.832339,37.7653111,강원도 춘천시 동산면 조양리 산339
2010,5,10,13:31,월,2010,5,10,14:50,강원,강원,춘천,동산,군자,산129-11,입,입산자실화,,0.3,127.757168,37.7645739,강원도 춘천시 동산면 군자리 산129-11
2007,3,1,13:27,공,2007,3,1,15:17,강원,강원,춘천,동산,원창,산138,논,농산부산물소각,,0.3,127.761689,37.7938523,강원도 춘천시 동산면 원창리 산138
2006,5,22,2:11,월,2006,5,22,4:16,강원,강원,춘천,신동,증,산107,입,입산자실화,,0.3,,,
2019,5,2,14:21,목,2019,5,2,16:25,강원,강원,춘천,남산,강촌,287-5,입,입산자 실화추정,,0.2,127.629629,37.8101628,강원도 춘천시 남산면 강촌리 287-5
2018,3,14,14:34,수,2018,3,14,15:30,강원,강원,춘천,온의,,산35-1,논,농산폐기물소각,,0.2,127.714606,37.8645006,강원도 춘천시 온의동 산35-1
2017,6,3,5:30,토,2017,6,3,17:00,북부,강원,춘천,동,상견,산53,기,기타(직접입력),조사중,0.2,,,
2015,3,7,13:35,토,2015,3,7,15:10,강원,강원,춘천,동,감정,산11-1,쓰,잔디소각,,0.2,127.79187,37.904864,강원도 춘천시 동면 감정리 산11-1
2019,3,12,15:00,화,2019,3,12,16:20,강원,강원,춘천,동,지내,산32,기,기타(직접입력),원인미상,0.1,,,
2018,8,1,8:51,수,2018,8,1,13:00,북부,강원,춘천,동,품걸,산1-1,기,기타(직접입력),조명탄 발화(조사중),0.1,,,
2017,5,7,19:14,일,2017,5,7,21:15,강원,강원,춘천,북산,오항,산43,입,기타(직접입력),입산자 실화추정,0.1,127.887277,37.9900498,강원도 춘천시 북산면 오항리 산43
2016,1,26,3:58,화,2016,1,26,7:00,강원,강원,춘천,서,지암,산46,기,기타(직접입력),조사중,0.1,127.617919,37.9829594,강원도 춘천시 사북면 지암리 산46
2015,3,30,13:08,월,2015,3,30,15:30,강원,강원,춘천,남산,강촌,산25-1,입,입산자실화 추정,,0.1,127.656649,37.8196647,강원도 춘천시 남산면 강촌리 산25-1
2015,2,1,16:21,일,2015,2,1,17:43,강원,강원,춘천,북산,조교,산226,입,입산자실화 추정,,0.1,127.948504,37.9277709,강원도 춘천시 북산면 조교리 산226
2013,5,6,14:50,월,2013,5,6,16:19,강원,강원,춘천,동,지내,산10,입,입산자실화,,0.1,,,
2012,6,19,11:17,화,2012,6,19,15:30,강원,강원,춘천,남,박암,산85-1,입,입산자실화,,0.1,127.539997,37.7240615,강원도 춘천시 남면 박암리 산85-1
2011,10,13,15:54,목,2011,10,13,17:50,북부,강원,춘천,사북,고성,산102,담,등산객실화 ,,0.1,,,
2011,6,15,13:15,수,2011,6,15,14:45,강원,강원,춘천,동산,조양,산46,입,입산자실화,,0.1,127.795176,37.750846,강원도 춘천시 동산면 조양리 산46
2011,4,16,18:25,토,2011,4,16,19:30,강원,강원,춘천,남산,강촌,산37-2,입,입산자실화추정,,0.1,127.666342,37.8176553,강원도 춘천시 남산면 강촌리 산37-2
2011,4,5,11:08,화,2011,4,5,11:40,강원,강원,춘천,남,관천,산48,입,입산자실화추정,,0.1,127.5209,37.7279133,강원도 춘천시 남면 관천리 산48
2010,11,26,14:38,금,2010,11,26,16:40,북부,강원,춘천,남산,방하,산95-18,입,입산자실화,,0.1,,,
2010,4,11,19:05,일,2010,4,11,20:15,강원,강원,춘천,사북,송암,산19,입,입산자실화,,0.1,127.685019,37.9903904,강원도 춘천시 사북면 송암리 산19
2009,4,10,15:08,금,2009,4,10,16:20,강원,강원,춘천,서,서정,산147-1,입,입산자실화추정,,0.1,,,
2009,4,5,14:00,일,2009,4,5,14:31,강원,강원,춘천,남,발산,산11-2,담,담뱃불실화추정,,0.1,,,
2009,4,3,14:42,금,2009,4,3,15:37,강원,강원,춘천,서,안보,산86-1,쓰,쓰레기소각,,0.1,127.580612,37.8530915,강원도 춘천시 서면 안보리 산86-1
2008,4,18,16:31,금,2008,4,18,17:44,강원,강원,춘천,북산,청평,산182-17,입,입산자실화,,0.1,127.820248,37.9784815,강원도 춘천시 북산면 청평리 산182-17
2006,11,12,13:20,일,2006,11,12,14:00,강원,강원,춘천,서,당림,산9,쓰,쓰레기소각,,0.1,127.629748,37.8228744,강원도 춘천시 서면 당림리 산9
2005,11,17,14:40,목,2005,11,17,16:10,북부,강원,춘천,신북,유포,산151-1,입,입산자실화추정,,0.1,,,
