발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2015,3,23,13:11,월,2015,3,24,18:00,강원,강원,홍천,화촌,군업,산269,입,입산자실화 추정,,37.1,128.006162,37.7489117,강원도 홍천군 화촌면 군업리 산269
2009,4,10,13:45,금,2009,4,10,17:50,강원,강원,홍천,북방,성동,산180,입,입산자실화추정,,25,127.854021,37.7400922,강원도 홍천군 북방면 성동리 산180
2012,4,19,14:16,목,2012,4,19,23:00,북부,강원,홍천,화촌,내삼포,산51,입,임산물채취객실화,,11,127.97858,37.7351432,강원도 홍천군 화촌면 내삼포리 산51
2015,3,22,16:04,일,2015,3,22,21:40,강원,강원,홍천,두촌,천현,산134-3,기,용접작업 비화,,10.8,128.004684,37.8636473,강원도 홍천군 두촌면 천현리 산134-3
2015,3,25,18:49,수,2015,3,26,17:00,북부,강원,홍천,내촌,와야,산12-2,입,입산자실화 추정,,4.8,128.167689,37.814839,강원도 홍천군 내촌면 와야리 산12-2
2015,4,28,13:58,화,2015,4,28,20:00,북부,강원,홍천,화촌,장평,산1,기,벌통소독,,4.6,128.115541,37.733901,강원도 홍천군 화촌면 장평리 산1
2016,4,2,14:20,토,2016,4,2,18:00,강원,강원,홍천,서,어유포,산67외 4필,기,작업장실화,,3.9,127.691283,37.7029838,강원도 홍천군 서면 어유포리 산67 외 4필
2009,4,10,13:00,금,2009,4,10,14:50,강원,강원,홍천,남,신대,산247,입,입산자실화추정,,3,127.798712,37.5990028,강원도 홍천군 남면 신대리 산247
2014,4,24,10:50,목,2014,4,24,20:30,북부,강원,홍천,서석,검산,산102,입,산나물 채취자 실화추정,,2.5,,,
2015,6,4,6:57,목,2015,6,4,10:26,강원,강원,홍천,두촌,원동,산34-10,기,원인미상,,2,127.987455,37.9087392,강원도 홍천군 두촌면 원동리 산34-10
2003,4,7,13:15,월,2003,4,7,16:10,강원,강원,홍천,동,노천,산83,논,논밭두렁소각,,1.5,128.042159,37.6837053,강원도 홍천군 동면 노천리 산83
2009,4,6,12:00,월,2009,4,6,12:30,강원,강원,홍천,내면,자운,산139-1,기,전기스파트,,1.4,128.370825,37.734815,강원도 홍천군 내면 자운리 산139-1
2019,5,7,15:40,화,2019,5,7,18:30,강원,강원,홍천,서석,풍암,산53,기,기타(직접입력),조사중,1.3,128.18335,37.7265197,강원도 홍천군 서석면 풍암리 산53
2017,5,3,11:17,수,2017,5,3,17:00,강원,강원,홍천,북방,성동,산180,입,기타(직접입력),입산자 실화,1.3,127.854021,37.7400922,강원도 홍천군 북방면 성동리 산180
2018,6,24,16:42,일,2018,6,24,20:00,강원,강원,홍천,북방,화동,산47,입,기타(직접입력),입산자 실화,1,127.864745,37.7139589,강원도 홍천군 북방면 화동리 산47
2015,5,21,15:40,목,2015,5,21,21:00,강원,강원,홍천,홍천,갈마곡,산67-22,입,입산자 실화,,1,127.896291,37.6881099,강원도 홍천군 홍천읍 갈마곡리 산67-22
2008,4,15,15:35,화,2008,4,15,17:07,강원,강원,홍천,홍천,삼마치,산198,쓰,쓰레기소각,,1,127.874166,37.6140464,강원도 홍천군 홍천읍 삼마치리 산198
2006,11,5,16:20,일,2006,11,5,20:35,북부,강원,홍천,화촌,내삼포,산51,기,낙뢰,,1,,,
2016,4,6,19:40,수,2016,4,6,21:50,강원,강원,홍천,동,좌운,산192-5,입,등산객실화,,0.8,127.996693,37.6339154,강원도 홍천군 동면 좌운리 산192-5
2015,3,14,14:53,토,2015,3,14,16:48,강원,강원,홍천,남,명동,산45,쓰,쓰레기 소각,,0.8,127.758533,37.628882,강원도 홍천군 남면 명동리 산45
2019,3,4,12:40,월,2019,3,4,18:00,북부,강원,홍천,동,노천,산10-51,쓰,쓰레기소각,,0.6,,,
2017,3,30,15:21,목,2017,3,30,17:30,강원,강원,홍천,화촌,성산,산72,논,농산폐기물소각,,0.51,127.952432,37.7697275,강원도 홍천군 화촌면 성산리 산72
2017,11,16,15:08,목,2017,11,16,16:13,강원,강원,홍천,내촌,물걸,산275-1,입,기타(직접입력),입산자 실화,0.5,128.121566,37.7452586,강원도 홍천군 내촌면 물걸리 산275-1
2017,3,14,15:11,화,2017,3,14,18:20,강원,강원,홍천,서,모곡,산120-1,입,등산객실화,,0.5,127.58498,37.6991342,강원도 홍천군 서면 모곡리 산120-1
2015,6,11,12:54,목,2015,6,11,20:00,북부,강원,홍천,화촌,야시대,산1-1,입,입산자실화 추정,,0.5,,,
2017,5,6,14:24,토,2017,5,6,16:30,강원,강원,홍천,내촌,도관,산126,건,주택화재비화,,0.47,128.097205,37.8058581,강원도 홍천군 내촌면 도관리 산126
2017,5,2,14:54,화,2017,5,2,20:00,북부,강원,홍천,내촌,와야,산12-2,쓰,쓰레기소각,,0.3,,,
2016,2,1,17:49,월,2016,2,1,19:30,강원,강원,홍천,내촌,답풍,산1-2,기,기타(직접입력),화목보일러 재,0.3,128.073224,37.8224303,강원도 홍천군 내촌면 답풍리 산1-2
2011,2,11,17:50,금,2011,2,11,20:20,북부,강원,홍천,내촌,물걸,산5,입,입산자실화추정,,0.3,,,
2009,3,20,14:25,금,2009,3,20,15:10,북부,강원,홍천,화천,굴운,산109,쓰,쓰레기소각,,0.3,,,
2009,1,15,12:10,목,2009,1,15,13:25,강원,강원,홍천,북방,화동,산8,입,입산자실화추정,,0.3,127.860219,37.7247312,강원도 홍천군 북방면 화동리 산8
2005,12,29,15:53,목,2005,12,29,17:15,강원,강원,홍천,화촌,성산,산68,입,입산자실화추정,,0.3,127.959067,37.7676287,강원도 홍천군 화촌면 성산리 산68
2005,6,5,13:59,일,2005,6,5,16:30,북부,강원,홍천,두촌,원동,산34-3,입,입산자실화추정,,0.3,,,
2005,3,14,13:45,월,2005,3,14,15:00,강원,강원,홍천,북방,화동,산41,입,입산자실화추정,,0.3,127.865344,37.7167024,강원도 홍천군 북방면 화동리 산41
2017,6,19,21:14,월,2017,6,20,0:00,강원,강원,홍천,서석,수하,산257,쓰,쓰레기소각,,0.24,128.152716,37.7427512,강원도 홍천군 서석면 수하리 산257
2017,4,26,15:20,수,2017,4,26,21:00,북부,강원,홍천,화촌,풍천,산77,입,기타(직접입력),입산자 실화,0.2,,,
2017,3,10,21:30,금,2017,3,11,0:00,북부,강원,홍천,홍천,상오안,산2,기,기타(직접입력),원인미상(조사중),0.2,,,
2017,2,28,10:53,화,2017,2,28,11:52,강원,강원,홍천,내촌,물걸,산41,쓰,쓰레기소각,,0.2,128.173957,37.7867945,강원도 홍천군 내촌면 물걸리 산41
2015,5,31,19:21,일,2015,6,1,12:00,북부,강원,홍천,서석,청량,산110,기,등산로 정비사업 실화추정,,0.2,,,
2015,5,17,17:10,일,2015,5,17,20:00,강원,강원,홍천,내,율전,145외 1필,입,입산자실화 추정,,0.2,128.385148,37.8386735,강원도 홍천군 내면 율전리 145 외 1필
2015,3,24,16:32,화,2015,3,24,19:00,북부,강원,홍천,내촌,와야,산12-2,기,원인미상,,0.2,,,
2014,4,22,14:46,화,2014,4,22,17:10,북부,강원,홍천,화촌,군업,산220,담,운전자 담뱃불 실화추정,,0.2,,,
2014,4,20,13:41,금,2014,4,20,15:13,강원,강원,홍천,서,동막,산110-1,입,입산자 실화추정,,0.2,127.561093,37.658959,강원도 홍천군 서면 동막리 산110-1
2014,3,27,17:29,목,2014,3,27,18:37,강원,강원,홍천,서,모곡,산82,기,작업장실화,,0.2,127.603884,37.6770737,강원도 홍천군 서면 모곡리 산82
2014,3,24,16:27,월,2014,3,24,17:10,북부,강원,홍천,두촌,자은,산170-1,기,전기누전추정,,0.2,,,
2014,3,7,15:10,금,2014,3,7,16:45,강원,강원,홍천,북방,북방,산48,기,굴뚝불씨연소,,0.2,,,
2011,3,18,12:00,금,2011,3,18,12:50,강원,강원,홍천,홍천,연봉,산9-1,입,입산자실화,,0.2,127.887384,37.6731944,강원도 홍천군 홍천읍 연봉리 산9-1
2010,4,4,11:11,일,2010,4,4,12:05,강원,강원,홍천,서면,굴업,산24,쓰,쓰레기소각,,0.2,127.679526,37.6209476,강원도 홍천군 서면 굴업리 산24
2009,5,9,10:20,토,2009,5,9,11:40,북부,강원,홍천,두촌,장남,산92-3,입,입산자실화추정,,0.2,,,
2007,2,5,8:50,월,2007,2,5,10:50,강원,강원,홍천,두촌,괘석,산76-2,입,입산자실화,,0.2,128.118656,37.8933145,강원도 홍천군 두촌면 괘석리 산76-2
2005,5,29,17:20,일,2005,5,29,17:50,북부,강원,홍천,화촌,풍천,산77,입,입산자실화추정,,0.2,,,
2004,10,28,15:10,목,2004,10,28,17:10,강원,강원,홍천,화촌,장평,산133,입,입산자실화추정,,0.2,128.078924,37.7613412,강원도 홍천군 화촌면 장평리 산133
2004,10,12,16:45,화,2004,10,12,18:20,북부,강원,홍천,내촌,서곡,Jan-53,입,입산자실화추정,,0.2,,,
2018,6,24,17:30,일,2018,6,24,20:00,북부,강원,홍천,내촌,화상대,산46-1,입,기타(직접입력),입산자 실화,0.15,,,
2006,10,7,12:04,공,2006,10,7,12:40,강원,강원,홍천,홍천,장전평,산248,성,성묘객실화,,0.12,127.855154,37.6430431,강원도 홍천군 홍천읍 장전평리 산248
2017,4,28,14:00,금,2017,4,28,20:00,북부,강원,홍천,내,광원,산197-1,입,기타(직접입력),입산자 실화,0.1,,,
