발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2017,4,3,14:32,월,2017,4,3,17:03,경기,경기,화성,남양,문호,산182-1,쓰,쓰레기소각,,2.5,126.802602,37.2491705,경기도 화성시 남양읍 문호리 산182-1
2005,3,14,13:30,월,2005,3,14,14:50,경기,경기,화성,매송,원,산147-1,쓰,쓰레기소각,,1,,,
2016,3,27,16:13,일,2016,3,27,18:20,경기,경기,화성,장안,석포,산66,논,논밭두렁소각,,0.9,126.827217,37.1470757,경기도 화성시 장안면 석포리 산66
2005,4,28,14:56,목,2005,4,28,16:50,경기,경기,화성,향남,장짐,산11,논,논밭두렁소각,,0.8,126.908813,37.1464647,경기도 화성시 향남읍 장짐리 산11
2006,3,31,14:00,금,2006,3,31,15:20,경기,경기,화성,신외,,산101,쓰,쓰레기소각,,0.7,126.811374,37.2750717,경기도 화성시 남양읍 신외리 산101
2004,4,18,13:00,일,2004,4,18,14:10,경기,경기,화성,서신,삼존,산98-1,쓰,쓰레기소각,,0.7,,,
2003,4,5,10:55,공,2003,4,5,12:20,경기,경기,화성,봉담,상기,산53-1,논,밭두렁소각,,0.7,126.923163,37.2135402,경기도 화성시 봉담읍 상기리 산53-1
2018,2,25,11:19,일,2018,2,25,13:50,경기,경기,화성,남양,북양,산74-5,쓰,쓰레기소각,,0.6,126.842983,37.2190105,경기도 화성시 남양읍 북양리 산74-5
2017,5,6,14:18,토,2017,5,6,15:40,경기,경기,화성,기안,,245-3임,입,기타(직접입력),입산자 담뱃불 실화,0.5,126.976874,37.2284037,경기도 화성시 기안동 245-3 임
2017,3,28,14:57,화,2017,3,28,16:30,경기,경기,화성,마도,금당,산311-1,기,기타(직접입력),조사중,0.5,126.746404,37.1852691,경기도 화성시 마도면 금당리 산311-1
2017,3,11,12:50,토,2017,3,11,15:20,경기,경기,화성,팔탄,덕천,산106,기,작업장실화,,0.5,126.881885,37.1417011,경기도 화성시 팔탄면 덕천리 산106
2004,3,28,13:44,일,2004,3,28,14:32,경기,경기,화성,양감,대양,산151,쓰,쓰레기소각,,0.5,126.939304,37.0926644,경기도 화성시 양감면 대양리 산151
2017,3,22,15:51,수,2017,3,22,20:00,경기,경기,화성,팔탄,가재,산146,기,기타(직접입력),조사중,0.4,126.911733,37.1522968,경기도 화성시 팔탄면 가재리 산146
2016,4,11,12:39,월,2016,4,11,16:00,경기,경기,화성,봉담,상기,산76,쓰,쓰레기소각,,0.35,126.917397,37.2110313,경기도 화성시 봉담읍 상기리 산76
