지점,시작일,종료일,지점명,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
90,1968-01-01,,속초,속초기상대(90),38.2509,128.5647,17.53,18.73,1.7,10,1.4
93,2016-10-01,,북춘천,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4
95,1988-01-01,,철원,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5
98,1998-02-01,,동두천,수도권기상청(119),37.9019,127.0607,115.62,116.74,1.7,10,1
99,2013-10-22,,파주,수도권기상청(119),37.8859,126.7665,30.59,31.99,1.7,10,1
99,2001-12-07,2013-10-22,문산,파주기상대(99),37.8859,126.7665,29.42,31.4,1.7,10,0.5
100,2006-11-07,,대관령,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4
100,1971-07-15,2006-11-06,대관령,,37.6869,128.7587,842.52,843.96,1.5,10,1.6
101,1966-01-01,,춘천,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4
102,2018-05-01,,백령도,백령도기상대(102),37.974,124.7124,36,37.2,1.8,9,1.2
102,2000-11-01,2018-05-01,백령도,백령도기상대(102),37.9661,124.6305,146,147.2,1.8,9,1.2
104,2008-07-28,,북강릉,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4
105,1911-10-03,,강릉,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10,0.5
106,1992-05-01,,동해,동해기상대(106),37.5071,129.1243,40.46,41.66,1.7,10,1.4
108,2010-08-16,,서울,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10,0.5
108,1907-10-01,2010-08-15,서울,서울기상관측소(108),37.5714,126.9658,85.5,86.5,1.5,10,0.6
112,2013-10-22,,인천,인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10,1.2
112,1904-08-29,2013-10-22,인천,인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10,0.6
114,1971-09-06,,원주,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4
115,1938-08-10,,울릉도,울릉도기상대(115),37.4813,130.8986,222.4,223.7,1.6,10,1.3
119,1964-01-01,,수원,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
121,1994-12-01,,영월,영월기상대(121),37.1813,128.4574,240.85,242.05,1.7,10,1.4
127,1972-01-01,,충주,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10,1
129,1968-01-01,,서산,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
130,1971-01-12,,울진,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10,1.3
131,1967-01-01,,청주,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8
133,1969-01-01,,대전,대전지방기상청(133),36.372,127.3721,70.22,71.12,1.6,19.8,1.2
135,1937-01-11,,추풍령,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
136,1983-01-01,,안동,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,1973-01-01,1978-05-01,안동,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,2002-01-01,,상주,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
138,1943-01-01,,포항,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2
140,2003-12-31,,군산,전주기상대(146),36.0053,126.7614,23.2,24.6,1.7,10,1
140,1968-01-01,2003-12-01,군산,,35.993,126.7057,25.57,30.74,1.5,18,0.6
143,2017-08-25,,대구,대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6
143,1907-01-31,2017-08-25,대구,대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10,0.6
