기온,습도,풍향,풍속,산불,상대습도
19.6,19,270,4.8,1,38.4
15.5,16,270,3.2,1,32.1
30.2,19,250,3.4,1,37.8
2.7,15,290,4.4,1,33.3
15,89,0,0.4,1,73.2
22.6,22,110,5.3,1,33.3
0.4,16,270,4.9,1,46.8
17.8,13,250,2.7,1,69.3
16.6,17,140,5.2,1,44.4
11.3,12,160,1,1,33.3
9.9,29,290,3.3,1,34.8
12.7,12,290,4.7,1,39.3
7.1,50,140,4.5,1,54
8.4,19,270,7.8,1,40.5
17.3,29,320,1.2,1,44.7
12.4,45,160,0.7,1,51.9
9.1,32,270,4.3,1,57.3
13.8,31,290,2.2,1,53.1
14.3,66,270,0.9,1,65.7
14.5,44,90,0.7,1,53.1
-0.5,31,290,2.1,1,48
28.3,18,250,4.2,1,50.7
30.7,29,290,2.2,1,48.9
16.2,37,290,2.4,1,51.9
16.9,16,230,3.3,1,60.9
12.7,79,0,0.1,1,81.3
8.1,20,290,4.9,1,45.9
5.7,32,250,2.8,1,51.9
19.9,33,290,3.7,1,78.6
10.3,17,270,6.4,1,54.6
25.1,21,230,2.2,1,44.4
21,18,160,1.3,1,39.6
4.7,29,50,2.1,1,37.2
10.2,31,230,1.5,1,42
-4.3,49,290,3,1,59.1
20.1,39,90,1.5,1,61.8
23.9,12,290,3.4,1,51.9
18.1,11,140,5.6,1,67.5
6.3,29,270,4.8,1,68.1
8.7,13,290,3.1,1,42
28.8,37,110,2.3,1,41.4
11.6,29,290,3,1,61.5
18.6,15,270,3.2,1,42.3
26.5,26,320,3.6,1,53.1
24.3,17,270,3.5,1,66.6
21.6,13,200,1.9,1,55.5
18.5,17,290,4.3,1,44.1
3.7,20,290,3.9,1,47.7
12,16,320,3.5,1,48.3
9.5,50,290,1.2,1,63.9
23.6,42,90,3.3,1,46.5
-6.4,46,290,4.2,1,58.2
13.2,32,270,2.2,1,69
8.7,35,250,4.7,1,75.3
25,46,290,1.6,1,72.6
16.2,14,250,1.5,1,58.5
13.4,12,290,4,1,46.5
10.2,65,140,0.5,1,69
19.9,19,290,4.7,1,44.4
1.5,28,290,2.9,1,52.8
9.7,29,270,5.1,1,53.4
23.2,28,270,4,1,57.3
14.8,23,270,1.3,1,58.8
8.8,32,180,1.2,1,66.9
5.8,18,270,4,1,44.1
11.3,42,270,1.4,1,60
18.5,60,0,0.4,1,68.7
27.1,66,140,0.7,1,78.6
28,38,360,1.1,1,58.2
28.4,15,270,3.4,1,62.7
18,14,250,1.2,1,64.8
10.4,16,290,6.9,1,56.7
9.5,17,290,3.9,1,42.9
2.9,71,160,0.9,1,59.4
5.4,62,110,3.2,1,44.1
26.5,25,270,3.9,1,57
26.4,39,360,1.6,1,56.4
19.6,35,160,4.4,1,50.1
14.3,15,160,3.3,1,43.8
12.3,15,270,4.2,1,33.6
6.9,42,110,3.9,1,37.5
25.9,16,290,2.8,1,38.7
3.7,17,230,2,1,33.3
3.4,45,290,7.1,1,60
0.9,60,0,0,1,52.5
11.2,39,270,3.6,1,45.9
14.5,18,270,2.9,1,47.1
4.2,65,290,2.2,1,76.5
28.1,16,230,2.8,1,55.2
18.8,35,290,3.7,1,56.1
15.2,31,160,1.2,1,53.1
17.7,25,290,3.8,1,45.3
18.7,37,90,1.6,1,49.5
20.4,33,290,5.3,1,63.3
29.5,26,340,1.2,1,50.7
15.5,16,230,2.9,1,54.3
24.3,32,110,3.4,1,51
