발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2019,4,4,23:46,목,2019,4,5,21:30,강원,강원도,강릉시,옥계동,남양리,958,기,기타(직접입력),원인미상,1260,129.011529,37.5719276,강원도 강릉시 옥계면 남양리 958
2019,4,4,19:17,목,2019,4,5,18:00,강원,강원도,고성군,토성리,원암리,산89-2,기,기타(직접입력),전기개폐기 폭발,1227,128.502773,38.2057051,강원도 고성군 토성면 원암리 산89-2
2005,4,4,23:53,화,2005,4,6,8:00,강원,강원도,양양군,양양군,대곡동,,입,입산자실화추정,,973,128.559295,38.1000769,강원도 양양군 양양읍 화일리 산220
2017,5,6,11:42,토,2017,5,9,11:20,강원,강원도,삼척시,도계리,점리,산83,입,기타(직접입력),입산자 실화,765.12,129.014154,37.2541832,강원도 삼척시 도계읍 점리 산83
2004,3,16,23:35,화,2004,3,17,13:00,강원,강원도,강릉시,옥계동,산계리,산191,기,방화추정,,430,128.986612,37.5951318,강원도 강릉시 옥계면 산계리 산191
2009,4,6,10:59,월,2009,4,7,17:50,경북,경상북도,칠곡군,지천리,창평동,산11외10필,입,입산자실화추정,,407,128.500812,35.9998078,경상북도 칠곡군 지천면 창평리 산11 외10필
2018,3,28,6:19,수,2018,3,28,22:00,강원,강원도,고성군,간성읍,탑동동,산19,기,기타(직접입력),전선단락(추정),356.85,128.467967,38.3574544,강원도 고성군 간성읍 탑동리 산19
2019,4,4,14:45,목,2019,4,6,18:00,강원,강원도,인제군,남구,남전리,503-2,기,원인미상,,345,128.130899,38.0284928,강원도 인제군 남면 남전리 503-2
2013,3,9,20:30,토,2013,3,10,12:00,울산,울산광역시,울주군,상북면,향산리,산304,쓰,쓰레기소각,,280,129.104244,35.5804534,울산광역시 울주군 상북면 향산리 산304
2017,5,6,15:32,토,2017,5,9,6:34,강원,강원도,강릉시,성산동,어흘리,산293-1,입,기타(직접입력),입산자 실화,252,128.804265,37.7225222,강원도 강릉시 성산면 어흘리 산293-1
2005,4,27,12:55,수,2005,4,27,23:50,경남,경상남도,함양군,병곡면,송평리,산14-1,성,성묘객실화,,229,127.68322,35.539768,경상남도 함양군 병곡면 송평리 산14-1
2004,4,16,14:20,금,2004,4,17,7:20,경북,경상북도,포항시,신광리,흥곡리,산103,입,입산자실화추정,,224,129.233356,36.0931448,경상북도 포항시 북구 신광면 흥곡리 산103
2011,3,30,15:55,수,2011,3,31,12:50,경북,경상북도,고령군,성산동,삼대리,산45,기,축사용접비화,,186.7,128.376066,35.7404061,경상북도 고령군 성산면 삼대리 산45
2011,4,1,12:25,금,2011,4,2,9:25,경북,경상북도,예천군,호명리,황지리,산82 외,논,농산폐기물소각,,186.3,128.508219,36.6313946,경상북도 예천군 호명면 황지리 산82 외
2005,4,4,12:40,월,2005,4,6,15:30,기타,강원도,고성군,현내리,명파리,,기,북한지역남하,,184,128.401331,38.5519664,강원도 고성군 현내면 명파리 산38-1
2004,3,10,13:22,수,2004,3,11,1:30,강원,강원도,속초시,노학동,,산573-3,기,고압선절단,,180,128.561773,38.1843519,강원도 속초시 노학동 산573-3
2011,4,1,21:10,금,2011,4,2,13:00,경북,경상북도,영덕군,남정리,회리,산149 외 65,쓰,쓰레기소각,,175.5,129.344707,36.2715995,경상북도 영덕군 남정면 회리 산149
2005,4,28,15:35,목,2005,4,29,9:00,강원,강원도,양양군,현남면,주리,산103,기,전선스파크추정,,168.26,128.753946,37.9238094,강원도 양양군 현남면 주리 산103
2011,3,30,15:05,수,2011,4,2,10:00,경북,경상북도,울진군,기성리,정명리,산78 외 45,입,입산자실화(재불),,168,129.435361,36.7888826,경상북도 울진군 기성면 정명리 산78 외 45
2018,2,11,16:14,일,2018,2,13,21:00,강원,강원도,삼척시,노곡동,하마읍리,산66외11필,건,주택화재비화,,161.14,129.193163,37.2750655,강원도 삼척시 노곡면 하마읍리 산66 외11필
2017,3,9,10:28,목,2017,3,10,22:30,강원,강원도,강릉시,옥계동,산계리,산119외80필,입,기타(직접입력),입산자 실화,160.41,128.99304,37.5979873,강원도 강릉시 옥계면 산계리 산119 외80필
2009,4,19,12:00,일,2009,4,19,20:20,경남,경상남도,산청군,산청군,모고리,산49외 53필,성,성묘객실화,,131,127.903689,35.4321866,경상남도 산청군 산청읍 모고리 산49 외 53필
2004,3,28,14:36,일,2004,3,29,6:50,경북,경상북도,봉화군,춘양면,의양리,산16-5,쓰,쓰레기소각,,123,128.93067,36.9494046,경상북도 봉화군 춘양면 의양리 산16-5
2005,4,27,14:15,수,2005,4,29,9:00,전북,전라북도,남원시,산동리,목동동,산130-1,입,입산자실화추정,,96,127.434676,35.4584575,전라북도 남원시 산동면 목동리 산130-1
2011,1,31,18:14,월,2011,2,1,10:30,강원,강원도,양양군,현남면,상월천리,산92외 141필,기,원인미상,,93.3,128.71612,37.9349786,강원도 양양군 현남면 상월천리 산92 외 141필
2016,3,30,14:46,수,2016,3,31,12:33,경북,경상북도,상주시,외서면,예의리,산148,논,논밭두렁소각,,92.6,128.016226,36.4673658,경상북도 상주시 외서면 예의리 산148
2011,3,25,14:25,금,2011,3,26,9:00,부산,부산광역시,강서구,지사동,,산48,입,입산자실화추정,,88,128.828717,35.1537191,부산광역시 강서구 지사동 산48
2017,5,6,14:10,토,2017,5,8,16:30,경북,경상북도,상주시,사벌면,덕가리,산108임,논,농산폐기물소각,,86,128.225787,36.5091298,경상북도 상주시 사벌면 덕가리 산108
2010,5,7,12:56,금,2010,5,7,19:10,경북,경상북도,영천시,청통면,죽정리,산18,기,사찰내전기용접,,86,128.832705,35.9724647,경상북도 영천시 청통면 죽정리 산18
2009,4,19,12:30,일,2009,4,19,18:50,전남,전라남도,장성군,동화리,송계리,산1외 28필지,입,입산자실화,,86,126.711399,35.2147719,전라남도 장성군 동화면 송계리 산1 외 28필지
2009,4,9,16:19,목,2009,4,10,7:45,경북,경상북도,포항시,삼가동,어전리,산97외10필,입,입산자실화추정,,85.89,129.56225,36.0406432,경상북도 포항시 남구 호미곶면 강사리 2 산97외10필
2013,3,9,15:38,토,2013,3,10,8:30,경북,경상북도,포항시,북구,용흥리,산122,어,어린이불장난,,79,129.34588,36.0427383,경상북도 포항시 북구 용흥동 산122
2018,2,11,21:27,일,2018,2,13,21:00,강원,강원도,삼척시,도계리,황조리,산106외34필,기,기타(직접입력),원인미상,76.46,129.085209,37.2082428,강원도 삼척시 도계읍 황조리 산106 외34필
2004,2,17,17:44,화,2004,2,18,1:00,경남,경상남도,김해시,삼계리,,산25,입,입산자실화,,73,128.87794,35.2657586,경상남도 김해시 삼계동 산25
2010,12,3,11:43,금,2010,12,4,8:50,강원,강원도,삼척시,미로면,상사전리,산1외 63필,건,주택화재(전기누전),,68,129.068156,37.3989412,강원도 삼척시 미로면 상사전리 산1 외 63필
2004,4,17,13:15,토,2004,4,18,1:30,경북,경상북도,봉화군,석포리,석포리,산35-1,기,열차스파크,,68,129.057981,37.0376562,경상북도 봉화군 석포면 석포리 산35-1
2015,3,22,14:01,일,2015,3,23,10:30,강원,강원도,화천군,간동면,도송리,산51,쓰,쓰레기 소각,,67.3,127.799389,38.0711562,강원도 화천군 간동면 도송리 산51
2016,4,2,19:42,토,2016,4,3,7:20,경북,경상북도,예천군,용문동,상금곡리,산16-3,논,논밭두렁소각,,66.5,128.415375,36.700616,경상북도 예천군 용문면 상금곡리 산16-3
2009,4,6,14:30,월,2009,4,7,7:15,경북,경상북도,안동시,임하리,금소리,산65외15필,기,산림연접지역 인화물질(촛불)실화,,66,128.860502,36.5057186,경상북도 안동시 임하면 금소리 산65 외15필
