DSRC 링크정보,표준노드링크 정보,구간명,시작지점명,도착지점명,거리,가로명,링크속도,링크통행시간,소통정보코드,정보생성일시
20190909105500,1561.4,1,칠곡우체국,47,120,팔달로칠곡로,01,팔거교교차로-칠곡우체국사거리,팔거교,1540101500
20190909105500,1561.4,1,칠곡우체국,47,120,팔달로칠곡로,01,팔거교교차로-칠곡우체국사거리,팔거교,1540101600
20190909105500,1561.4,1,칠곡우체국,47,120,팔달로칠곡로,01,팔거교교차로-칠곡우체국사거리,팔거교,1540109800
20190909105500,1568.68,2,팔거교,25,217,팔달로칠곡로,02,칠곡우체국사거리-팔거교교차로,칠곡우체국,1540101300
20190909105500,1568.68,2,팔거교,25,217,팔달로칠곡로,02,칠곡우체국사거리-팔거교교차로,칠곡우체국,1540101400
20190909105500,1568.68,2,팔거교,25,217,팔달로칠곡로,02,칠곡우체국사거리-팔거교교차로,칠곡우체국,1540109700
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540013900
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540015401
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540015402
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540109900
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540110500
20190909105500,1798.75,3,칠곡네거리,25,289,팔달로칠곡로,02,칠곡우체국사거리-칠곡네거리,칠곡우체국,1540110600
20190909105500,1805.93,4,칠곡우체국,34,193,팔달로칠곡로,01,칠곡네거리-칠곡우체국사거리,칠곡네거리,1540014000
20190909105500,1805.93,4,칠곡우체국,34,193,팔달로칠곡로,01,칠곡네거리-칠곡우체국사거리,칠곡네거리,1540015301
20190909105500,1805.93,4,칠곡우체국,34,193,팔달로칠곡로,01,칠곡네거리-칠곡우체국사거리,칠곡네거리,1540015302
20190909105500,1805.93,4,칠곡우체국,34,193,팔달로칠곡로,01,칠곡네거리-칠곡우체국사거리,칠곡네거리,1540110000
