"시간별(1)",시간별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"합계",소계,599,271,544,516,405,418,389,570,282,277,197,296,492,623,391,692,496
"새벽",소계,22,5,20,9,14,14,18,25,12,6,11,11,15,23,16,22,14
"새벽",01,6,1,3,2,2,4,4,7,3,0,0,3,3,4,2,1,1
"새벽",02,6,-,7,1,5,3,4,2,4,1,1,2,1,1,4,1,1
"새벽",03,5,1,5,1,2,1,3,2,1,2,2,2,3,6,5,6,9
"새벽",04,2,1,3,3,2,3,3,10,3,1,3,2,2,6,3,3,1
"새벽",05,3,2,2,2,3,3,4,4,1,2,5,2,6,6,2,11,2
"오전",소계,33,13,25,28,22,23,25,49,21,9,15,16,42,60,22,56,48
"오전",06,2,1,1,2,4,5,2,6,4,2,1,0,5,3,2,4,6
"오전",07,1,-,1,3,1,1,3,6,-,1,3,3,3,4,1,4,3
"오전",08,1,-,1,3,1,4,2,4,-,0,1,1,4,4,4,5,3
"오전",09,8,3,4,6,2,3,4,5,3,2,1,3,2,11,6,13,10
"오전",10,21,9,18,14,14,10,14,28,14,4,9,9,28,38,9,30,26
"정오",소계,225,100,221,174,139,129,142,197,104,106,57,106,150,192,148,231,168
"정오",11,57,26,42,36,33,27,35,37,31,17,16,27,35,41,35,56,37
"정오",12,68,35,70,51,51,47,44,75,35,35,17,35,57,51,43,85,62
"정오",13,100,39,109,87,55,55,63,85,38,54,24,44,58,100,70,90,69
"오후",소계,284,144,236,275,187,209,182,252,125,138,98,140,248,301,180,338,233
"오후",14,104,51,82,88,74,66,63,84,44,61,28,58,74,115,46,117,90
"오후",15,80,40,78,79,52,62,53,81,47,37,31,45,82,85,57,97,63
"오후",16,61,39,44,62,33,44,37,48,15,24,26,22,44,55,41,62,52
"오후",17,21,11,20,32,18,25,16,28,14,11,11,10,25,32,25,40,16
"오후",18,18,3,12,14,10,12,13,11,5,5,2,5,23,14,11,22,12
"야간",소계,35,9,42,30,43,43,22,47,20,18,16,23,37,47,25,45,33
"야간",19,9,3,9,8,10,3,5,12,7,4,2,3,12,13,11,12,12
"야간",20,10,2,3,3,15,11,5,14,5,2,5,7,8,7,4,6,4
"야간",21,5,1,8,7,5,9,6,11,3,6,5,6,6,5,2,13,8
"야간",22,5,2,6,6,7,12,4,2,3,0,2,3,4,8,2,2,1
"야간",23,5,1,9,3,4,4,0,2,1,4,0,3,5,9,2,6,6
"야간",24,1,-,7,3,2,4,2,6,1,2,2,1,2,5,4,6,2
